fd_id,did_eat_meat,was_vegan,no_meals,no_snacks,alcohol_consumed,water_drank
29004,False,False,3,2,0,1417
29005,False,True,3,2,0,611
29006,False,False,1,3,0,2148
29007,False,True,1,5,688,1741
29008,True,False,2,2,141,1138
29009,True,False,2,0,0,2293
30000,False,True,2,2,749,2385
30001,True,False,3,0,0,2367
30002,False,True,1,0,0,1283
30003,True,False,1,1,0,1890
30004,True,False,3,4,841,794
30005,False,False,1,5,391,877
30006,True,False,2,4,0,2696
30007,True,False,3,4,0,1201
30008,False,False,2,4,0,1841
30009,True,False,2,4,653,541
31000,True,False,1,0,0,958
31001,True,False,6,0,0,1862
31002,True,False,3,0,0,1384
31003,False,False,1,0,0,2019
31004,False,True,2,0,672,665
31005,False,False,1,5,671,1030
31006,False,False,2,3,0,1257
31007,True,False,2,4,0,2284
31008,False,False,2,2,0,1275
31009,False,True,7,5,0,2321
32000,False,False,1,4,0,1125
32001,True,False,3,5,0,1510
32002,False,False,2,2,0,768
32003,True,False,1,4,856,1400
32004,False,False,1,2,0,2015
32005,False,True,5,0,0,1690
32006,True,False,2,1,730,1687
32007,True,False,2,3,0,1174
32008,False,False,3,2,0,682
32009,False,False,1,0,0,2163
33000,False,False,3,3,0,2258
33001,True,False,2,0,0,2025
33002,True,False,1,2,0,2176
33003,False,False,2,5,0,2391
33004,False,False,1,4,0,2423
33005,True,False,2,2,0,1420
33006,True,False,1,0,0,2831
33007,True,False,2,2,0,719
33008,True,False,3,1,0,2016
33009,False,False,1,3,745,1360
34000,False,False,2,4,502,1993
34001,True,False,2,3,0,1366
34002,True,False,2,4,0,1518
34003,False,False,3,3,0,520
34004,True,False,3,4,0,1587
34005,True,False,5,0,0,552
34006,True,False,1,3,225,742
34007,False,False,2,0,0,2393
34008,False,True,3,3,0,642
34009,False,False,1,3,0,1850
35000,False,False,1,5,0,1844
35001,True,False,1,5,0,2081
35002,True,False,2,0,313,2043
35003,True,False,2,1,0,951
35004,False,False,2,0,227,2396
35005,False,True,1,3,49,1587
35006,False,False,2,4,0,1289
35007,False,False,1,4,0,1273
35008,True,False,3,4,0,1890
35009,True,False,2,3,0,723
36000,False,False,3,4,0,548
36001,False,True,2,0,533,2401
36002,False,False,2,3,0,2369
36003,False,False,2,3,0,1137
36004,False,False,6,5,983,1097
36005,False,False,1,2,0,1518
36006,False,True,1,4,0,2906
36007,False,False,1,2,0,1679
36008,True,False,2,1,99,541
36009,False,True,2,2,106,1669
37000,True,False,2,1,754,867
37001,False,False,1,1,0,1852
37002,True,False,3,5,968,1298
37003,True,False,1,2,0,1209
37004,True,False,2,4,0,1597
37005,False,False,2,0,99,771
37006,True,False,2,0,0,2175
37007,False,True,1,4,928,1534
37008,False,False,1,0,0,1603
37009,False,True,2,3,260,2222
38000,False,False,3,0,678,1821
38001,False,False,1,5,0,2098
38002,False,False,1,0,0,856
38003,True,False,1,2,0,1727
38004,False,False,1,0,0,1293
38005,True,False,2,2,0,2398
38006,False,False,3,2,0,2499
38007,True,False,3,1,0,1403
38008,True,False,2,2,0,1982
38009,True,False,7,0,639,2457
39000,False,True,3,4,0,1131
39001,True,False,3,4,518,1317
39002,False,False,3,0,222,592
39003,False,False,2,0,0,662
39004,False,False,3,3,0,1664
39005,True,False,1,3,0,2095
39006,True,False,1,5,0,1001
39007,True,False,3,2,0,1054
39008,True,False,2,1,1000,2789
39009,True,False,2,0,0,1680
40000,False,False,3,5,0,1217
40001,True,False,1,4,0,2982
40002,False,False,2,5,0,2366
40003,False,False,1,2,839,1335
40004,True,False,3,3,0,1376
40005,False,False,3,1,0,1280
40006,False,False,3,3,0,1744
40007,False,False,2,5,131,2302
40008,False,False,1,1,0,1729
40009,True,False,2,2,363,1891
41000,False,False,2,0,0,1609
41001,False,True,1,4,0,2320
41002,True,False,3,2,0,1523
41003,False,True,1,3,761,692
41004,False,False,1,3,0,2169
41005,False,False,3,1,0,1570
41006,True,False,2,2,607,1231
41007,False,False,1,3,0,779
41008,True,False,5,3,0,1748
41009,False,False,3,4,0,1163
42000,True,False,2,2,0,580
42001,False,True,2,5,0,687
42002,True,False,2,0,0,1515
42003,True,False,4,5,0,991
42004,True,False,3,2,0,1652
42005,True,False,1,2,0,1200
42006,True,False,4,2,0,2022
42007,False,True,1,4,0,580
42008,True,False,3,2,0,2047
42009,True,False,2,5,0,2812
43000,True,False,2,0,0,1351
43001,False,False,1,1,0,1330
43002,True,False,3,4,0,1654
43003,True,False,3,5,0,1019
43004,True,False,3,1,0,1796
43005,False,False,1,3,0,2113
43006,False,False,1,2,0,1802
43007,False,False,1,1,852,1952
43008,False,False,1,2,0,1772
43009,True,False,7,0,566,1177
44000,True,False,1,0,0,1048
44001,True,False,1,5,0,2424
44002,False,False,2,4,0,665
44003,True,False,3,1,0,1810
44004,False,False,2,4,37,1859
44005,True,False,1,4,0,2563
44006,False,True,2,2,0,1320
44007,False,False,3,5,0,2406
44008,False,False,1,2,0,2563
44009,True,False,2,2,637,1062
45000,False,False,3,5,737,2087
45001,False,True,2,3,0,655
45002,True,False,2,0,808,775
45003,False,True,1,2,267,3098
45004,False,False,3,2,0,1937
45005,True,False,1,1,0,815
45006,False,False,1,5,0,1756
45007,False,False,1,0,0,1803
45008,True,False,2,2,969,3139
45009,True,False,3,4,0,2263
46000,True,False,3,0,0,519
46001,True,False,3,1,0,809
46002,True,False,3,2,252,1282
46003,False,False,1,5,355,1713
46004,False,False,1,3,0,2743
46005,True,False,2,0,0,2230
46006,False,False,2,2,0,1258
46007,False,False,3,2,0,1170
46008,False,False,1,4,0,760
46009,False,False,2,5,332,1613
47000,False,False,3,3,0,2072
47001,False,False,3,2,0,1642
47002,True,False,2,3,0,1458
47003,False,False,3,5,211,1093
47004,True,False,1,1,230,1573
47005,True,False,3,0,0,979
47006,True,False,3,4,0,757
47007,True,False,2,3,0,2064
47008,False,False,1,1,0,2249
47009,True,False,1,1,862,1382
48000,False,False,1,1,0,2680
48001,False,False,1,5,618,1210
48002,True,False,2,5,0,2270
48003,True,False,2,0,0,1308
48004,False,True,1,4,0,2358
48005,True,False,2,5,66,2000
48006,True,False,1,2,0,768
48007,True,False,1,4,89,1700
48008,False,False,3,2,428,2929
48009,False,False,2,4,0,1139
49000,True,False,2,0,0,1608
49001,True,False,3,0,284,1827
49002,False,False,1,3,0,1662
49003,True,False,3,4,321,1904
49004,True,False,1,5,919,1282
49005,False,False,1,5,0,819
49006,True,False,6,5,9,1456
49007,True,False,3,0,0,1331
49008,False,False,3,5,0,967
49009,False,False,2,3,0,1282
50000,False,True,2,3,329,1562
50001,False,False,3,4,0,1505
50002,True,False,2,4,904,876
50003,False,False,2,1,0,3098
50004,True,False,1,5,882,1631
50005,True,False,1,4,0,1755
50006,False,True,3,1,0,2354
50007,False,True,7,1,0,1198
50008,True,False,3,1,0,1617
50009,True,False,1,4,856,561
51000,True,False,3,2,150,1828
51001,False,False,3,4,0,2483
51002,True,False,1,0,0,2399
51003,False,True,1,0,0,897
51004,False,False,1,1,0,2119
51005,True,False,2,2,0,2333
51006,False,False,3,4,0,1018
51007,True,False,1,4,0,3037
51008,False,True,1,4,0,2488
51009,True,False,1,1,0,792
52000,True,False,1,4,0,765
52001,True,False,3,3,0,957
52002,True,False,2,3,0,935
52003,False,False,2,3,0,1311
52004,True,False,2,5,0,2228
52005,False,False,3,4,859,2295
52006,True,False,2,1,0,794
52007,False,True,1,2,535,1566
52008,False,False,2,4,0,2482
52009,True,False,3,2,0,630
53000,True,False,2,3,0,2490
53001,False,False,2,3,0,806
53002,False,True,2,3,0,1571
53003,True,False,3,5,0,1098
53004,False,False,1,4,0,2321
53005,False,False,2,2,0,2278
53006,False,False,1,3,0,1190
53007,True,False,3,1,0,800
53008,True,False,5,3,13,2327
53009,True,False,2,0,0,1997
54000,False,True,2,2,0,2202
54001,False,False,2,4,463,1047
54002,False,False,2,2,681,1522
54003,False,False,2,4,0,2773
54004,False,False,3,3,809,2411
54005,True,False,2,2,0,868
54006,True,False,2,2,0,897
54007,True,False,1,5,549,1105
54008,True,False,2,2,0,660
54009,False,False,1,0,0,2060
55000,False,True,1,0,0,2098
55001,False,False,2,4,0,1319
55002,False,False,1,2,0,1031
55003,False,True,3,2,492,730
55004,True,False,5,3,0,2091
55005,False,False,1,5,0,1706
55006,True,False,3,1,0,2347
55007,False,False,2,0,0,1173
55008,True,False,3,4,182,674
55009,True,False,2,3,117,826
56000,False,False,4,2,0,769
56001,True,False,1,2,0,1516
56002,False,False,2,1,0,535
56003,True,False,3,5,0,2407
56004,True,False,3,4,0,1529
56005,True,False,3,1,267,1607
56006,True,False,3,2,0,812
56007,False,False,3,0,0,2126
56008,True,False,1,1,0,2493
56009,False,False,1,5,0,1540
57000,False,False,2,2,184,1562
57001,False,False,1,5,357,2333
57002,True,False,7,1,800,1806
57003,False,False,2,4,0,1052
57004,False,False,5,3,293,1001
57005,True,False,1,3,809,734
57006,True,False,2,4,0,1231
57007,True,False,1,0,870,2405
57008,True,False,3,3,451,1531
57009,False,True,2,4,0,2087
58000,True,False,3,5,0,1387
58001,False,False,2,5,0,1879
58002,False,False,3,5,234,560
58003,True,False,2,4,0,950
58004,False,False,2,4,0,1119
58005,False,False,4,5,0,883
58006,True,False,1,3,0,663
58007,True,False,2,0,0,1089
58008,False,False,1,0,0,1391
58009,False,False,3,5,0,1046
59000,False,False,2,3,185,975
59001,True,False,3,3,843,994
59002,False,False,2,4,789,1402
59003,False,False,2,3,0,1927
59004,True,False,1,3,574,2472
59005,True,False,1,2,0,580
59006,True,False,3,5,0,2132
59007,False,True,2,5,0,2371
59008,True,False,1,0,0,1666
59009,False,False,2,0,0,1943
60000,True,False,1,5,0,1632
60001,False,True,5,4,0,2468
60002,True,False,1,2,0,728
60003,False,False,2,0,0,1367
60004,True,False,6,2,0,1212
60005,False,False,3,4,0,1241
60006,False,False,1,5,0,1828
60007,False,False,1,5,0,2243
60008,True,False,3,5,0,2494
60009,True,False,1,0,0,1387
61000,False,False,3,1,0,1564
61001,True,False,1,1,0,1284
61002,True,False,2,0,0,1612
61003,False,True,2,3,0,1724
61004,True,False,1,2,843,2425
61005,True,False,1,1,0,2324
61006,True,False,2,0,750,1959
61007,True,False,1,5,0,1882
61008,True,False,1,0,0,1955
61009,False,False,1,4,831,1915
62000,True,False,2,5,0,787
62001,False,False,2,5,752,985
62002,False,False,2,3,477,1257
62003,True,False,3,3,0,1498
62004,False,False,3,4,0,1735
62005,True,False,2,4,0,542
62006,True,False,2,3,0,2261
62007,True,False,1,0,518,1711
62008,False,False,2,0,0,1323
62009,True,False,1,0,302,1768
63000,True,False,2,0,0,2051
63001,False,False,1,0,0,1399
63002,True,False,1,5,0,1375
63003,False,False,2,2,0,1467
63004,True,False,2,2,0,1855
63005,True,False,3,3,0,2314
63006,True,False,1,0,0,1262
63007,False,False,3,4,0,1547
63008,True,False,1,1,0,1048
63009,True,False,2,4,68,2190
64000,True,False,2,5,0,1312
64001,True,False,1,1,0,1814
64002,False,False,1,0,0,2343
64003,False,False,1,3,0,719
64004,False,False,3,4,0,1033
64005,False,False,3,4,700,1818
64006,True,False,2,5,0,1154
64007,True,False,3,1,0,925
64008,True,False,2,0,0,1057
64009,False,False,1,3,0,1225
65000,True,False,1,0,536,2025
65001,True,False,5,1,305,1067
65002,True,False,3,2,0,1248
65003,True,False,1,3,0,2142
65004,False,False,3,2,603,981
65005,False,False,1,2,0,1608
65006,True,False,2,1,0,842
65007,False,False,5,2,0,603
65008,True,False,1,3,0,2358
65009,True,False,2,4,0,2660
66000,True,False,7,4,0,2013
66001,False,False,1,0,0,1883
66002,False,False,1,4,543,1087
66003,True,False,2,2,0,1365
66004,False,True,5,5,0,1917
66005,True,False,2,3,0,1520
66006,True,False,1,3,0,1706
66007,True,False,2,3,0,1516
66008,False,False,2,0,0,1328
66009,True,False,3,5,0,1585
67000,True,False,2,0,0,1622
67001,False,False,6,5,0,1478
67002,True,False,3,0,0,1505
67003,True,False,1,1,937,1947
67004,False,True,1,3,0,809
67005,True,False,3,5,0,849
67006,True,False,3,0,914,1936
67007,True,False,3,5,192,2334
67008,False,False,2,1,0,2395
67009,True,False,1,1,0,731
68000,True,False,1,4,0,738
68001,True,False,1,4,0,1807
68002,False,False,1,2,0,1726
68003,False,True,1,5,0,2348
68004,False,False,5,0,0,1403
68005,True,False,2,0,0,1069
68006,True,False,1,3,0,897
68007,True,False,2,4,0,2403
68008,False,False,5,4,0,833
68009,True,False,5,0,201,1076
69000,False,False,4,5,0,654
69001,False,False,3,4,0,1922
69002,False,False,2,0,0,1736
69003,False,False,2,0,910,1224
69004,False,False,2,0,0,836
69005,True,False,2,0,356,2317
69006,True,False,2,1,0,2232
69007,True,False,2,4,0,1689
69008,False,True,3,1,0,888
69009,True,False,3,0,0,2107
70000,False,False,2,1,0,1462
70001,True,False,2,5,392,1179
70002,False,False,1,4,0,730
70003,True,False,2,0,0,1199
70004,False,False,3,1,528,1689
70005,False,False,1,4,0,2103
70006,False,False,1,2,0,1794
70007,False,False,1,3,0,1385
70008,False,False,1,3,36,2195
70009,True,False,1,1,835,1298
71000,True,False,3,0,0,2321
71001,True,False,3,4,0,584
71002,True,False,2,3,758,601
71003,False,False,1,5,0,961
71004,False,False,2,0,900,894
71005,False,True,1,3,0,2428
71006,True,False,2,2,0,2090
71007,False,True,2,3,757,781
71008,True,False,1,0,0,2830
71009,True,False,2,1,0,1303
72000,False,False,2,2,0,1889
72001,False,False,7,3,532,503
72002,True,False,2,1,0,2177
72003,False,False,2,3,0,775
72004,True,False,3,5,0,1048
72005,False,False,2,3,0,1856
72006,False,False,1,1,0,1075
72007,False,True,3,5,0,505
72008,True,False,1,2,402,1631
72009,True,False,2,5,0,2758
73000,False,False,2,5,523,1328
73001,False,True,3,2,0,696
73002,True,False,3,3,0,1917
73003,False,False,1,4,192,1506
73004,True,False,2,5,766,1553
73005,False,False,3,0,0,1826
73006,True,False,1,2,0,2448
73007,True,False,2,5,0,1245
73008,False,True,2,3,0,522
73009,False,False,1,3,546,1969
74000,False,True,1,3,0,2081
74001,False,False,2,0,0,1816
74002,False,False,4,4,626,1792
74003,False,False,3,5,0,2215
74004,True,False,4,0,815,1623
74005,False,False,2,2,746,1161
74006,True,False,3,2,0,937
74007,False,False,1,4,0,1919
74008,False,False,3,3,0,1686
74009,True,False,3,4,0,570
75000,False,True,3,3,8,1483
75001,False,False,1,3,0,1097
75002,True,False,3,0,0,545
75003,True,False,5,1,0,1426
75004,True,False,3,4,0,1285
75005,True,False,3,1,0,1898
75006,False,False,3,1,0,2099
75007,False,False,3,1,0,1399
75008,False,False,3,0,0,699
75009,True,False,3,5,833,2146
76000,False,False,3,2,927,2336
76001,False,True,3,1,0,1868
76002,False,False,3,4,0,2394
76003,True,False,1,4,0,1649
76004,False,False,2,4,0,889
76005,False,True,3,5,0,759
76006,True,False,1,3,42,1858
76007,True,False,3,2,0,2076
76008,False,True,1,4,0,2134
76009,True,False,3,0,0,530
77000,False,False,2,0,215,1184
77001,False,False,3,1,0,929
77002,False,False,3,4,0,509
77003,False,False,3,2,0,2671
77004,True,False,3,1,0,1276
77005,False,False,1,4,0,2458
77006,True,False,2,1,792,2263
77007,True,False,2,1,0,1951
77008,False,False,7,1,0,2272
77009,True,False,2,4,814,1412
78000,False,False,3,3,658,2754
78001,True,False,2,0,0,1004
78002,False,False,2,5,983,2623
78003,False,False,2,3,845,986
78004,True,False,2,3,0,569
78005,True,False,1,1,0,1598
78006,True,False,2,5,0,1601
78007,False,False,2,5,574,1269
78008,False,False,1,0,0,1813
78009,False,False,3,2,0,1398
79000,True,False,1,3,0,2291
79001,True,False,4,5,455,1043
79002,True,False,2,1,0,2675
79003,True,False,3,0,0,1330
79004,True,False,3,0,0,551
79005,True,False,3,2,0,835
79006,True,False,3,2,979,730
79007,False,False,3,3,0,1532
79008,False,False,3,1,0,2121
79009,True,False,1,5,0,1338
80000,True,False,2,2,0,1120
80001,False,True,1,0,0,629
80002,True,False,3,4,0,1365
80003,True,False,2,5,0,1855
80004,True,False,6,0,0,1982
80005,False,True,1,3,0,2170
80006,False,False,2,0,0,1423
80007,False,True,2,0,278,607
80008,True,False,1,4,0,2161
80009,True,False,1,1,0,1055
81000,True,False,1,1,0,2405
81001,True,False,1,3,0,1234
81002,False,False,3,2,0,2247
81003,False,False,3,4,0,841
81004,True,False,1,2,0,999
81005,True,False,3,4,0,1999
81006,False,False,2,0,0,1617
81007,False,False,2,4,871,978
81008,False,False,2,2,0,2078
81009,True,False,3,2,0,2374
82000,True,False,1,3,172,1389
82001,True,False,2,4,0,1715
82002,True,False,1,3,779,2067
82003,True,False,3,5,0,635
82004,False,False,3,2,750,1106
82005,False,True,1,0,0,2230
82006,True,False,2,3,0,2028
82007,True,False,1,4,0,1141
82008,False,True,6,3,0,1407
82009,True,False,2,1,0,2450
83000,True,False,1,4,0,2362
83001,True,False,6,0,0,1490
83002,False,False,2,3,0,711
83003,False,False,1,2,0,3148
83004,False,False,1,4,358,2584
83005,False,False,1,2,45,1046
83006,False,False,2,4,0,1192
83007,False,False,1,1,876,1430
83008,True,False,2,3,0,2690
83009,False,False,1,5,0,2149
84000,False,False,2,5,911,1400
84001,True,False,1,0,0,1913
84002,True,False,3,5,0,1900
84003,True,False,1,4,0,1177
84004,True,False,1,2,0,1360
84005,True,False,3,4,0,2023
84006,False,False,1,4,492,1063
84007,False,False,7,3,0,1419
84008,False,False,1,1,0,1825
84009,False,True,2,2,0,2589
85000,False,True,3,1,0,773
85001,True,False,3,0,457,1074
85002,True,False,3,0,168,2463
85003,True,False,3,0,0,2164
85004,False,False,2,3,0,2353
85005,False,False,1,1,0,1116
85006,True,False,1,3,0,2391
85007,False,False,2,0,0,1428
85008,True,False,3,1,0,2097
85009,True,False,6,0,0,1614
86000,True,False,2,1,0,1146
86001,True,False,6,2,827,2449
86002,False,True,1,3,0,1398
86003,True,False,3,3,0,2179
86004,True,False,2,4,0,1155
86005,False,True,1,3,0,1855
86006,False,False,2,5,482,1690
86007,True,False,2,4,629,1064
86008,True,False,2,2,480,1490
86009,True,False,1,0,0,2026
87000,False,False,1,1,0,2204
87001,True,False,3,1,0,1543
87002,True,False,2,3,965,958
87003,False,False,3,4,0,1802
87004,False,True,3,3,0,670
87005,True,False,2,3,0,1041
87006,False,True,2,1,0,701
87007,True,False,2,0,492,2113
87008,True,False,3,1,0,578
87009,True,False,3,0,0,1110
88000,True,False,2,2,0,2019
88001,False,False,6,5,317,2322
88002,True,False,2,0,0,1929
88003,False,False,1,5,0,1574
88004,False,False,3,5,7,1645
88005,True,False,1,2,0,1976
88006,True,False,2,3,289,2187
88007,True,False,3,3,0,3431
88008,False,False,2,0,0,1057
88009,False,True,2,3,809,2026
89000,True,False,2,1,859,1917
89001,False,False,2,3,727,2182
89002,True,False,6,0,0,738
89003,False,True,2,5,398,1884
89004,True,False,2,5,0,676
89005,False,True,3,1,0,1774
89006,True,False,2,0,234,510
89007,True,False,1,0,0,2431
89008,False,False,1,1,0,1678
89009,False,False,2,2,0,1747
90000,True,False,3,1,814,1473
90001,False,False,2,5,478,1006
90002,True,False,2,4,0,2490
90003,True,False,1,3,0,1100
90004,True,False,2,1,0,1835
90005,False,False,3,5,0,1632
90006,False,False,3,5,0,1175
90007,True,False,1,4,0,995
90008,False,False,2,2,0,3083
90009,True,False,1,1,0,2250
91000,True,False,2,2,0,2459
91001,True,False,7,3,0,2079
91002,False,False,1,3,29,2278
91003,False,False,3,0,0,1857
91004,False,True,7,0,0,1227
91005,True,False,3,0,0,2610
91006,False,False,3,3,0,648
91007,True,False,1,0,0,1185
91008,True,False,3,1,192,2270
91009,False,False,3,1,0,1514
92000,True,False,2,1,0,2403
92001,True,False,1,3,0,1834
92002,False,False,2,1,0,929
92003,True,False,2,0,526,858
92004,True,False,2,2,0,1122
92005,False,False,2,3,0,2881
92006,True,False,2,1,0,1242
92007,False,False,2,4,0,1317
92008,False,True,1,1,0,875
92009,False,False,2,4,0,1032
